Graph Name,Weigh of Original Graph,Weigh C1,Time C1 (ms),Weigh C2,Time C2 (ms),Weigh D1,Time D1 (ms),Weigh D2,Time D2 (ms)
dtp_15_20_1.txt,102.159744,36.637894,84,38.173706,3,41.5623,2,41.5623,3,
dtp_20_30_2.txt,196.86447,97.50795,5,84.30704,4,84.48364,1,84.48364,1,
dtp_15_30_2.txt,164.54585,38.84282,3,34.543823,2,33.330933,1,33.330933,1,
dtp_15_20_0.txt,91.17424,28.494553,1,35.09822,1,23.86679,1,23.86679,1,
dtp_10_15_0.txt,84.42316,25.831802,1,14.831253,0,14.831253,1,14.831253,0,
dtp_20_50_0.txt,287.1156,49.847122,8,37.553818,4,45.047974,1,45.047974,1,
dtp_100_150_2.txt,777.6534,287.19724,80,244.11415,19,238.14067,19,238.14067,9,
dtp_200_400_2.txt,2225.904,568.7904,295,510.4004,153,475.43347,22,475.43347,45,
dtp_200_400_0.txt,2148.1375,601.26965,262,528.79065,129,485.0274,28,485.0274,15,
dtp_200_600_0.txt,3266.6953,461.13977,466,422.1635,272,431.71558,25,431.71558,20,
dtp_100_200_2.txt,1084.0614,295.49133,34,260.18073,20,235.00208,2,235.00208,4,
dtp_100_150_0.txt,814.08746,327.3227,35,289.13266,12,290.93457,2,290.93457,2,
