instance,originalweight,weightigm2,timeigm2
dtp_15_20_1.txt,102.159744,30.597809,208
dtp_20_30_2.txt,196.86447,75.746765,264
dtp_15_30_2.txt,164.54585,33.330933,68
dtp_15_20_0.txt,91.17424,23.6996,52
dtp_10_15_0.txt,84.42316,14.831253,32
dtp_20_50_0.txt,287.1156,37.553818,75
dtp_20_30_1.txt,176.1032,55.310715,54
dtp_15_30_1.txt,153.55019,21.433807,38
dtp_15_20_2.txt,116.55115,40.639862,40
dtp_15_30_0.txt,187.31749,34.724518,33
dtp_10_15_2.txt,71.62381,20.768814,11
dtp_10_15_1.txt,87.16795,17.76625,17
dtp_20_30_0.txt,182.51015,57.248566,47
dtp_20_50_2.txt,297.48666,42.83574,63
dtp_20_50_1.txt,272.91107,43.288513,60
dtp_100_150_2.txt,777.6534,220.32487,711
dtp_200_400_2.txt,2225.904,475.43347,4605
dtp_200_400_0.txt,2148.1375,478.19266,4115
dtp_200_600_0.txt,3266.6953,419.0,5075
dtp_100_200_2.txt,1084.0614,232.9969,756
dtp_100_150_0.txt,814.08746,283.44406,579
dtp_200_400_1.txt,2245.0789,508.43573,3503
dtp_100_150_1.txt,877.4552,301.11926,520
dtp_300_600_0.txt,3247.0293,745.06384,10315
dtp_300_600_2.txt,3305.5933,712.7229,10933
dtp_200_600_1.txt,3315.1555,366.45856,8575
dtp_300_600_1.txt,3356.9604,734.21906,10562
dtp_100_200_0.txt,1172.4258,265.77182,715
dtp_100_200_1.txt,1093.5935,200.4972,666
dtp_200_600_2.txt,3302.478,396.77896,6532
