Graph Name,Weigh of Original Graph,Weigh of Most Connected,Time of Most Connected (ms),Weigh of Most Connected Improved,Time of Most Connected Improved (ms),Weigh of Least Connected,Time of Least Connected (ms),Weigh of Least Connected Improved,Time of Least Connected Improved (ms),Weigh of Iterated Greedy #300,Time of Iterated Greedy #300 (ms),Weigh of Iterated Greedy Improved #300,Time of Iterated Greedy Improved #300 (ms),Weigh of Iterated Greedy Custom 1 #300,Time of Iterated Greedy Custom 1 #300 (ms),Weigh of Iterated Greedy Custom 2 #300,Time of Iterated Greedy Custom 2 #300 (ms),Weigh of Iterated Greedy Custom 3 #300,Time of Iterated Greedy Custom 3 #300 (ms),Weigh of Iterated Greedy Custom 4 #300,Time of Iterated Greedy Custom 4 #300 (ms)
test.txt,19.0,6.0,69,5.0,2,6.0,6,6.0,2,6.0,164,5.0,89,5.0,36,6.0,43,5.0,34,6.0,31
dtp_15_20_1.txt,20.0,9.0,4,7.0,1,7.0,0,7.0,0,7.0,62,7.0,59,8.0,16,7.0,20,7.0,16,7.0,20
dtp_20_30_2.txt,30.0,17.0,2,13.0,1,13.0,2,13.0,1,13.0,251,13.0,80,13.0,41,13.0,25,13.0,38,13.0,25
dtp_15_30_2.txt,30.0,10.0,1,7.0,0,7.0,1,7.0,0,7.0,34,7.0,42,7.0,19,7.0,16,7.0,27,7.0,21
dtp_15_20_0.txt,20.0,9.0,0,7.0,0,6.0,1,6.0,0,6.0,18,6.0,25,7.0,13,6.0,9,6.0,11,6.0,15
dtp_10_15_0.txt,15.0,7.0,0,5.0,1,5.0,0,5.0,0,5.0,11,5.0,12,5.0,6,5.0,3,5.0,6,5.0,4
test_2.txt,50.0,17.0,1,10.0,1,11.0,0,11.0,0,11.0,103,11.0,95,11.0,56,11.0,19,10.0,43,11.0,14
dtp_20_50_0.txt,50.0,15.0,0,11.0,1,12.0,0,12.0,0,11.0,76,12.0,95,12.0,57,12.0,16,11.0,57,12.0,17
dtp_20_30_1.txt,30.0,15.0,0,12.0,0,11.0,0,11.0,0,11.0,34,11.0,45,11.0,27,11.0,12,11.0,22,11.0,10
dtp_15_30_1.txt,30.0,8.0,1,7.0,0,8.0,0,8.0,0,8.0,22,8.0,33,7.0,17,8.0,6,7.0,17,8.0,8
dtp_15_20_2.txt,20.0,7.0,0,7.0,0,7.0,0,7.0,1,7.0,8,7.0,19,7.0,7,7.0,6,7.0,8,7.0,7
dtp_15_30_0.txt,30.0,11.0,0,8.0,0,8.0,1,8.0,0,8.0,29,8.0,34,8.0,16,8.0,6,8.0,17,8.0,6
test_3.txt,21.0,7.0,0,6.0,0,6.0,1,6.0,0,6.0,15,6.0,18,6.0,13,6.0,4,6.0,11,6.0,5
dtp_10_15_2.txt,15.0,4.0,0,4.0,0,4.0,0,4.0,0,4.0,6,4.0,10,5.0,4,4.0,4,4.0,4,4.0,4
dtp_10_15_1.txt,15.0,6.0,0,5.0,1,5.0,0,5.0,0,5.0,10,5.0,11,5.0,5,5.0,3,5.0,6,5.0,3
dtp_20_30_0.txt,30.0,14.0,0,12.0,1,12.0,0,12.0,0,12.0,43,12.0,48,11.0,17,12.0,14,11.0,15,12.0,22
dtp_20_50_2.txt,50.0,17.0,1,10.0,1,11.0,0,11.0,0,11.0,113,11.0,116,11.0,53,11.0,16,10.0,57,11.0,17
dtp_20_50_1.txt,50.0,12.0,0,11.0,1,12.0,0,12.0,0,12.0,67,12.0,103,11.0,53,12.0,20,11.0,53,12.0,16
dtp_100_150_2.txt,150.0,76.0,30,54.0,18,53.0,12,53.0,12,53.0,2640,53.0,3573,52.0,1112,53.0,379,52.0,1095,53.0,366
dtp_200_400_2.txt,400.0,165.0,183,115.0,112,113.0,50,113.0,52,113.0,35229,113.0,36997,112.0,13913,112.0,2307,113.0,13388,113.0,2462
dtp_200_400_0.txt,400.0,177.0,188,118.0,136,117.0,34,117.0,19,117.0,35102,117.0,36855,112.0,15958,116.0,2350,112.0,13751,114.0,2166
dtp_200_600_0.txt,600.0,174.0,347,124.0,241,118.0,16,118.0,22,118.0,66407,118.0,70598,118.0,36966,118.0,3568,118.0,37480,118.0,3322
dtp_100_200_2.txt,200.0,88.0,24,62.0,17,59.0,2,59.0,2,59.0,4899,59.0,5194,58.0,2164,59.0,487,58.0,2252,59.0,478
